Provider ID,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison
321309,Critical Access Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
330024,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Above the national average
330044,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Below the national average
330049,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
330055,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Above the national average
330058,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
330085,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
330136,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Same as the national average
330181,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,2,Same as the national average
330195,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Above the national average
330198,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
330304,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
330385,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,Not Available
330393,Acute Care Hospitals,Government - State,TRUE,TRUE,3,Above the national average
331303,Critical Access Hospitals,Government - Federal,FALSE,TRUE,Not Available,Not Available
340030,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
340047,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
340132,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
340144,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
340156,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
340171,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5,Same as the national average
341302,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Not Available
341320,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
350019,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Same as the national average
350063,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
350064,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
351305,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Not Available
351312,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,Not Available
351318,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
351319,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Not Available
351331,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
360051,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Above the national average
360076,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
360274,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
360364,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,4,Same as the national average
363306,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
370034,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
370048,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
370049,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
370214,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
371311,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
371313,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
371331,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
371333,Critical Access Hospitals,Government,TRUE,TRUE,3,Not Available
381319,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
390013,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
390025,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,,Not Available,Not Available
390079,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
390093,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
390111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
390146,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
390163,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
390168,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
390180,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,Below the national average
390195,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Above the national average
390219,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
390258,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3,Same as the national average
393302,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
393303,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400001,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Same as the national average
400003,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400004,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Same as the national average
400005,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400006,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400007,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Same as the national average
400010,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400011,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400012,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Not Available
400013,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Same as the national average
400014,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,Not Available
400015,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,Not Available,Not Available
400016,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
400018,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Same as the national average
400019,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Same as the national average
400021,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,Same as the national average
400022,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,2,Same as the national average
400032,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400044,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
400048,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,Not Available
400061,Acute Care Hospitals,Government - State,TRUE,TRUE,Not Available,Not Available
400079,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
400087,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400098,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400102,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400103,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Same as the national average
400104,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400105,Acute Care Hospitals,Government - State,TRUE,TRUE,Not Available,Not Available
400106,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400109,Acute Care Hospitals,Proprietary,TRUE,,1,Same as the national average
400110,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400112,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available,Not Available
400113,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400114,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Same as the national average
400115,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400117,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Not Available
400118,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
400120,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
400122,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400123,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400124,Acute Care Hospitals,Government - State,TRUE,TRUE,Not Available,Same as the national average
400125,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400126,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400127,Acute Care Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
400128,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
400130,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400131,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
400132,Acute Care Hospitals,Government - State,TRUE,,Not Available,Not Available
400133,Acute Care Hospitals,Proprietary,TRUE,,Not Available,Not Available
400134,Acute Care Hospitals,Proprietary,TRUE,,Not Available,Not Available
403301,Childrens,Government - State,TRUE,,Not Available,Not Available
410006,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Above the national average
420015,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
420023,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Below the national average
420068,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,Same as the national average
420098,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Same as the national average
420106,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
421302,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
430083,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
431309,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
431314,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
431318,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
431319,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
431326,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
431328,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
431332,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
431338,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Same as the national average
440012,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,Same as the national average
440082,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
440175,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
450044,Acute Care Hospitals,Government - State,TRUE,TRUE,4,Above the national average
450143,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Not Available
450165,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
450352,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
450369,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
450431,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5,Above the national average
450662,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Above the national average
450766,Acute Care Hospitals,Government - State,FALSE,TRUE,3,Not Available
450775,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Above the national average
450797,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
451309,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
451318,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
451329,Critical Access Hospitals,Government - Hospital District or Authority,FALSE,TRUE,Not Available,Not Available
451333,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
451341,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
451360,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
